link,judul,tanggal,portal
https://en.antaranews.com/news/314520/koni-garuda-indonesia-cooperate-for-supporting-2024-pon,"KONI, Garuda Indonesia cooperate for supporting 2024 PON",2024-05-27,ANTARA News
https://nasional.kontan.co.id/news/kecewa-dengan-pesawat-haji-garuda-indonesia-kemenag-akan-minta-kompensasi,"Kecewa dengan Pesawat Haji Garuda Indonesia, Kemenag Akan Minta Kompensasi",2024-05-26,kontan.co.id
https://investor.id/market/362526/garuda-indonesia-giaa-tambah-delapan-pesawat,Garuda Indonesia (GIAA) Tambah Delapan Pesawat,2024-05-26,investor.id
https://kemenag.go.id/nasional/kemenhub-tegur-keras-garuda-indonesia-minta-perbaiki-layanan-haji-2024-tChfz,"Kemenhub Tegur Keras Garuda Indonesia, Minta Perbaiki Layanan Haji 2024",2024-05-25,Kementerian Agama RI
https://www.cnbcindonesia.com/news/20240522190215-8-540642/video-tingkatkan-jaringan-penerbangan-garuda-tambah-8-armada-pesawat,"Video: Tingkatkan Jaringan Penerbangan, Garuda Tambah 8 Armada Pesawat",2024-05-25,CNBC Indonesia
https://en.antaranews.com/news/314319/ministry-presses-garuda-indonesia-to-improve-hajj-flight-services,Ministry presses Garuda Indonesia to improve Hajj flight services,2024-05-25,ANTARA News
https://nasional.kompas.com/read/2024/05/24/13310311/pesawat-garuda-rusak-timbulkan-efek-domino-kloter-haji-gagal-terbang-kemenag,"Pesawat Garuda Rusak Timbulkan Efek Domino Kloter Haji Gagal Terbang, Kemenag: Kita Tegur Keras",2024-05-24,Kompas.com
https://kemenag.go.id/nasional/minta-garuda-siapkan-mitigasi-stafsus-menag-segera-benahi-masalah-keterlambatan-penerbangan-eaZoo,"Minta Garuda Siapkan Mitigasi, Stafsus Menag: Segera Benahi Masalah Keterlambatan Penerbangan",2024-05-24,Kementerian Agama RI
https://www.suara.com/bisnis/2024/05/24/132027/tarif-tiket-pesawat-garuda-dituding-mahal-bosnya-pilot-gue-engga-tidur,"Tarif Tiket Pesawat Garuda Dituding Mahal, Bosnya: Pilot Gue Engga Tidur!",2024-05-24,Suara.com
https://www.indonesiadaily.co.id/ekbiz/72012743587/mengapa-tiket-pesawat-garuda-lebih-mahal-dibanding-yang-lain-ini-penjelasannya-dirut,Mengapa Tiket Pesawat Garuda Lebih Mahal Dibanding yang Lain? Ini Penjelasannya Dirut - Indonesia Daily,2024-05-24,Indonesia Daily
https://nasional.kompas.com/read/2024/05/24/08295441/pesawat-garuda-indonesia-pengangkut-jemaah-haji-rusak-lagi-kemenag-kita,"Pesawat Garuda Indonesia Pengangkut Jemaah Haji Rusak Lagi, Kemenag: Kita Tegur Keras!",2024-05-24,KOMPAS.com
https://kemenag.go.id/nasional/buntut-penerbangan-tertunda-garuda-minta-maaf-dan-janji-berikan-kompensasi-2e7Ul,"Buntut Penerbangan Tertunda, Garuda Minta Maaf dan Janji Berikan Kompensasi",2024-05-24,Kementerian Agama RI
https://nasional.kompas.com/read/2024/05/24/20583551/garuda-indonesia-minta-maaf-usai-mesin-pesawat-pengangkut-jemaah-haji-rusak,Garuda Indonesia Minta Maaf Usai Mesin Pesawat Pengangkut Jemaah Haji Rusak 2 Kali,2024-05-24,Kompas.com
https://ekbis.sindonews.com/read/1382745/34/garuda-bakal-tambah-8-pesawat-boeing-biaya-sewa-rp8-m-sebulan-1716523538,"Garuda Bakal Tambah 8 Pesawat Boeing, Biaya Sewa Rp8 M Sebulan",2024-05-24,SINDOnews Ekbis
https://kemenag.go.id/pers-rilis/soc-41-delay-karena-pesawat-rusak-kemenag-kita-tegur-keras-jemaah-marah-ke-garuda-e0xEu,"SOC 41 Delay karena Pesawat Rusak, Kemenag: Kita Tegur Keras, Jemaah Marah ke Garuda",2024-05-24,Kementerian Agama RI
https://economy.okezone.com/read/2024/05/24/320/3012638/garuda-indonesia-bakal-tambah-8-pesawat-baru-segini-harganya,"Garuda Indonesia Bakal Tambah 8 Pesawat Baru, Segini Harganya",2024-05-24,economy.okezone.com
https://simpleflying.com/singapore-airlines-garuda-indonesia-southeast-asia/,Singapore Airlines And Garuda Indonesia Strengthen Southeast Asia Cooperation,2024-05-23,Simple Flying
https://www.cnbcindonesia.com/market/20240523102104-17-540724/garuda-indonesia--giaa--mau-tambah-8-pesawat-keluarkan-kocek-segini,"Garuda Indonesia (GIAA) Mau Tambah 8 Pesawat, Keluarkan Kocek Segini",2024-05-23,CNBC Indonesia
https://nasional.kompas.com/read/2024/05/22/17542271/penerbangan-haji-bermasalah-kemenag-sebut-manajemen-garuda-indonesia-gagal,"Penerbangan Haji Bermasalah, Kemenag Sebut Manajemen Garuda Indonesia Gagal",2024-05-22,Kompas.com
https://www.cnnindonesia.com/ekonomi/20240522195153-92-1101106/dirut-ungkap-alasan-tiket-garuda-lebih-mahal-dibanding-yang-lain,Dirut Ungkap Alasan Tiket Garuda Lebih Mahal Dibanding yang Lain,2024-05-22,CNN Indonesia
https://traveltradejournal.com/garuda-indonesia-and-singapore-airlines-strengthen-commercial-partnership/,Garuda Indonesia and Singapore Airlines strengthen commercial partnership,2024-05-21,Travel Trade Journal
https://travel.economictimes.indiatimes.com/news/aviation/international/garuda-indonesia-singapore-airlines-strengthen-commercial-partnership/110277679,Garuda Indonesia & Singapore Airlines strengthen commercial partnership,2024-05-20,ET TravelWorld
https://www.airlineratings.com/articles/garuda-indonesia-and-singapore-airlines-deepen-partnership,Garuda Indonesia and Singapore Airlines Deepen Partnership,2024-05-20,Airline Ratings
https://www.businesstimes.com.sg/companies-markets/singapore-airlines-and-garuda-indonesia-partner-frequent-flyer-miles,Singapore Airlines and Garuda Indonesia to partner on frequent flyer miles,2024-05-20,The Business Times
https://www.bernama.com/en/news.php?id=2298225,Garuda Indonesia Flight Makes Emergency Landing After Engine Fire,2024-05-16,bernama
https://www.thejakartapost.com/indonesia/2024/05/16/garuda-indonesia-flight-makes-emergency-landing-after-engine-fire.html,Garuda Indonesia flight makes emergency landing after engine fire,2024-05-16,The Jakarta Post
https://muslim.okezone.com/read/2024/05/16/398/3009221/kronologi-pesawat-garuda-pengangkut-jamaah-haji-keluarkan-percikan-api-saat-lepas-landas-di-makassar,Kronologi Pesawat Garuda Pengangkut Jamaah Haji Keluarkan Percikan Api saat Lepas Landas di Makassar,2024-05-16,muslim.okezone.com
https://www.cnbcindonesia.com/news/20240516134609-8-538686/video-garuda-indonesia-buka-suara-soal-insiden-mesin-pesawat-terbakar,Video: Garuda Indonesia Buka Suara Soal Insiden Mesin Pesawat Terbakar,2024-05-16,CNBC Indonesia
https://simpleflying.com/garuda-indonesia-boeing-747-engine-fire-hajj-flight/,Garuda Indonesia Boeing 747 Engine Fire Forces Return Of Hajj Flight,2024-05-16,Simple Flying
https://www.straitstimes.com/asia/se-asia/garuda-indonesia-flight-turns-back-makes-emergency-landing-after-engine-fire,Garuda Indonesia flight turns back and makes emergency landing after engine fire,2024-05-16,The Straits Times
https://gulfnews.com/world/asia/garuda-indonesia-flight-to-saudi-arabia-makes-emergency-landing-after-engine-fire-1.1715798814989,Garuda Indonesia flight to Saudi Arabia makes emergency landing after engine fire,2024-05-15,Gulf News
https://en.vietnamplus.vn/garuda-indonesia-flight-makes-emergency-landing-after-engine-fire-post286076.vnp,Garuda Indonesia flight makes emergency landing after engine fire,2024-05-15,Vietnam+ (VietnamPlus)
https://en.antaranews.com/news/312924/flag-carrier-garuda-indonesia-readies-14-aircraft-for-hajj-pilgrims,Flag carrier Garuda Indonesia readies 14 aircraft for Hajj pilgrims,2024-05-08,ANTARA News
https://en.antaranews.com/news/311307/garuda-indonesia-offers-medical-exam-discounts-in-malaysia,Garuda Indonesia offers medical exam discounts in Malaysia,2024-04-20,ANTARA News
https://www.travelandtourworld.com/news/article/new-hamad-international-airport-garuda-indonesia-daily-flights-from-jakarta-to-doha/,New Hamad International Airport – Garuda Indonesia Daily Flights from Jakarta to Doha,2024-04-09,Travel And Tour World
https://www.aci-asiapac.aero/media-centre/news/hamad-international-airport-further-expands-into-southeast-asia-with-garuda-indonesia,Hamad International Airport Further Expands into Southeast Asia with Garuda Indonesia,2024-04-08,ACI Asia-Pacific
https://www.businesstraveller.com/business-travel/garuda-indonesia-celebrates-doha-launch/,Garuda Indonesia celebrates Doha launch,2024-04-08,Business Traveller
https://dohanews.co/hia-expands-into-southeast-asia-with-garuda-indonesia/,HIA expands into Southeast Asia with Garuda Indonesia,2024-04-08,Doha News | Qatar
https://www.zawya.com/en/business/aviation/garuda-indonesia-starts-daily-flights-to-qatars-hamad-airport-a0gkemhw,Garuda Indonesia starts daily flights to Qatar's Hamad Airport,2024-04-07,ZAWYA
https://simpleflying.com/garuda-indonesia-quick-wins-airbus-a330s-boeing-737s/,Garuda Indonesia Targets Quick Wins With More Airbus A330s And Boeing 737s,2024-04-07,Simple Flying
https://thepeninsulaqatar.com/article/07/04/2024/hia-further-expands-into-southeast-asia-with-garuda-indonesia,HIA further expands into Southeast Asia with Garuda Indonesia,2024-04-07,The Peninsula Qatar
https://www.gulf-times.com/article/680244/qatar/garuda-indonesia-starts-daily-service-between-jakarta-and-doha,Garuda Indonesia starts daily service between Jakarta and Doha| Gulf Times,2024-04-06,Gulf Times
https://www.thestar.com.my/business/business-news/2024/04/04/garuda-indonesia-to-expand-fleet-this-year,Garuda Indonesia to expand fleet this year,2024-04-04,The Star
https://www.thejakartapost.com/business/2024/04/02/garuda-indonesia-to-expand-fleet-this-year.html,Garuda Indonesia to expand fleet this year,2024-04-02,The Jakarta Post
https://indonesiabusinesspost.com/1773/Politics/garuda-indonesias-revenue-growth-40-percent-in-2023,Garuda Indonesia's revenue growth 40 percent in 2023,2024-04-01,Indonesia Business Post
https://jakartaglobe.id/business/garuda-indonesias-revenue-soars-by-40-percent-to-294-billion-in-2023,Garuda Indonesia's Revenue Soars by 40 Percent to $2.94 Billion in 2023,2024-04-01,Jakarta Globe
https://jakartaglobe.id/business/lion-air-and-garuda-indonesia-refute-claims-of-airfare-surge-above-legal-limit,Lion Air and Garuda Indonesia Refute Claims of Airfare Surge Above Legal Limit,2024-03-21,Jakarta Globe
https://www.ch-aviation.com/news/137682-garuda-indonesia-wins-costs-in-greylag-appeal-mulls-merger,"Garuda Indonesia wins costs in Greylag appeal, mulls merger",2024-03-04,ch-aviation
https://jakartaglobe.id/business/garuda-indonesias-shares-soar-after-paris-court-backs-gihf,Garuda Indonesia's Shares Soar After Paris Court Backs GIHF,2024-02-27,Jakarta Globe
https://liveandletsfly.com/garuda-indonesia-business-class-lounge-bali-review/,Review: Garuda Indonesia Business Class Lounge Bali (DPS),2024-02-24,Live and Let's Fly
https://www.antaranews.com/video/3977637/terbang-bersama-pokemon-di-pesawat-garuda-indonesia,Terbang bersama Pokemon di pesawat Garuda Indonesia,2024-02-22,ANTARA News
https://www.businesstraveller.com/business-travel/2024/02/08/garuda-indonesia-to-launch-doha-route/,Garuda Indonesia to launch Doha route,2024-02-08,Business Traveller
